cook_id,cook_first_name,cook_last_name,phone_number,date_of_birth,years_of_experience,position_rank,Image_id
25,Elsa,Franecki,1-688-551-0728x987,30/04/1988,6,Β΄ μάγειρας,60
26,Meghan,Grant,334.504.2386x7930,24/09/1998,15,Β΄ μάγειρας,11
27,Edmond,Kovacek,1-107-312-4896,10/07/2005,9,Α΄ μάγειρας,5
28,Arvilla,Howell,535-304-8554x423,17/11/1996,5,βοηθός αρχιμάγειρα,56
29,Evan,Rowe,(530)939-7359,21/09/1974,13,Γ΄ μάγειρας,65
30,Idell,Reichel,1-771-816-0936,10/10/1974,5,βοηθός αρχιμάγειρα,29
31,Zion,Lind,411.211.4588,06/11/1980,3,Β΄ μάγειρας,22
32,Monroe,Schamberger,(245)360-3335x42867,27/02/1978,7,βοηθός αρχιμάγειρα,59
33,Christelle,Prohaska,131-206-4671x902,25/08/1996,10,Α΄ μάγειρας,55
34,Vallie,Mertz,971-370-5988x374,01/01/1976,12,Β΄ μάγειρας,8
35,Constance,Olson,+57(7)6269998680,09/09/1975,12,Β΄ μάγειρας,46
36,Karen,Hammes,(979)058-9696,01/03/1984,4,Β΄ μάγειρας,2
37,Palma,Bailey,2422036465,30/08/1981,3,Γ΄ μάγειρας,45
38,Keenan,Schimmel,445-669-8492x4515,10/06/1999,1,Α΄ μάγειρας,16
39,Reuben,Hodkiewicz,449-541-1206,24/07/2000,13,αρχιμάγειρας,30
40,Ruthe,Zboncak,372.598.0035x83720,21/03/1989,13,Α΄ μάγειρας,49
41,Kip,Runte,+52(7)7839653196,26/11/2004,3,Α΄ μάγειρας,41
42,Maxime,Bradtke,963-781-8802x9479,24/09/1997,2,αρχιμάγειρας,21
43,Vladimir,Jaskolski,1-599-572-2746,13/12/1981,1,Β΄ μάγειρας,33
44,Tiara,Ryan,1-175-967-6584,25/03/2002,12,Γ΄ μάγειρας,52
45,Shemar,Herzog,010.145.5719x0107,27/11/2003,9,βοηθός αρχιμάγειρα,15
46,Jeanie,Frami,1-159-814-2652x64892,16/06/1977,3,Α΄ μάγειρας,69
47,Gunner,Keebler,1-185-104-9072x5747,19/06/1971,11,Α΄ μάγειρας,43
48,Mackenzie,Borer,1-452-038-3475x375,28/02/1990,12,αρχιμάγειρας,20
49,Carol,Nienow,(584)841-2442x96756,17/05/1983,5,Γ΄ μάγειρας,38
50,Chance,Abshire,1-093-093-9545,17/01/1981,14,Γ΄ μάγειρας,62
51,Reymundo,Herman,1663447617,14/04/2005,12,βοηθός αρχιμάγειρα,4
52,Judy,Corwin,1228559818,02/09/2001,8,βοηθός αρχιμάγειρα,50
53,Clementina,Berge,448.511.5774,09/12/1987,3,βοηθός αρχιμάγειρα,51
54,Cordell,Deckow,484.339.2575,09/09/1980,8,Α΄ μάγειρας,25
55,Katrina,Ratke,564.451.3348x0733,19/12/1979,15,Α΄ μάγειρας,12
56,Corine,Erdman,535-153-9425x044,17/11/1988,1,βοηθός αρχιμάγειρα,64
57,Baylee,Kuvalis,461-358-9143x1876,18/01/2004,14,Α΄ μάγειρας,7
58,Kamryn,Harber,1-952-391-7168,22/08/1989,2,αρχιμάγειρας,17
59,Ezequiel,Cremin,(725)704-8350,03/04/1973,11,Α΄ μάγειρας,54
60,Madonna,Flatley,1-583-599-9391x10518,05/04/2003,15,Β΄ μάγειρας,9
61,Charles,Medhurst,1-285-775-3074,24/02/1970,9,βοηθός αρχιμάγειρα,31
62,Madisyn,Boyle,(098)070-3355x86795,05/08/1973,7,Γ΄ μάγειρας,32
63,Harley,Grant,(228)624-2244,14/03/1995,2,βοηθός αρχιμάγειρα,57
64,Jacky,Jacobson,251-130-1557,10/03/1972,2,βοηθός αρχιμάγειρα,36
65,Alejandra,Treutel,930.602.2184x7051,15/05/1998,8,Β΄ μάγειρας,1
66,Valerie,Gorczany,226.567.9292x0765,23/03/1995,13,Γ΄ μάγειρας,27
67,Howard,Schimmel,260-008-7041,11/04/1986,12,Γ΄ μάγειρας,23
68,Trey,Cremin,520-268-6866,06/03/1970,5,Α΄ μάγειρας,24
69,Elwin,Stark,+08(5)7617322911,18/09/1991,13,αρχιμάγειρας,6
70,Lennie,O'Kon,(940)472-2474x773,25/04/1987,4,αρχιμάγειρας,14
