cook_id,cook_first_name,cook_last_name,phone_number,date_of_birth,years_of_experience,position_rank,Image_id,
48,Stewart,Schultz,172.841.7641,14/03/1982,6,Α΄ μάγειρας,35,
49,Amy,Mueller,(174)409-9642x20307,04/08/2004,11,αρχιμάγειρας,8,
50,Rachel,Dibbert,2574273114,02/04/1988,10,Β΄ μάγειρας,44,
51,Floyd,Gibson,118-672-2524x26573,09/09/1972,7,Α΄ μάγειρας,33,
52,Carolyn,Graham,(258)965-5658x522,07/09/2001,11,Γ΄ μάγειρας,1,
53,Rosalinda,Konopelski,251.696.0278x09930,14/01/2002,7,Β΄ μάγειρας,37,
54,Oleta,Marvin,309.303.0622,20/12/2000,8,Α΄ μάγειρας,28,
55,Myra,Howell,115-293-3765,05/07/1993,5,Β΄ μάγειρας,15,
56,Cassandre,Bahringer,1-540-760-7829x2582,11/02/1978,15,Γ΄ μάγειρας,19,
57,Conrad,Schiller,204.046.0884x60769,28/06/1990,5,Β΄ μάγειρας,22,
58,Mabel,Kessler,345.868.8898x489,03/01/2004,1,Α΄ μάγειρας,57,
59,Henderson,Hamill,016.953.0952,03/04/1981,9,Β΄ μάγειρας,36,
60,Loy,Medhurst,+07(6)4936057976,24/01/1972,1,Γ΄ μάγειρας,67,
61,Augustus,Schuppe,+48(9)7859995174,30/06/1990,8,Α΄ μάγειρας,38,
62,Jayden,Morar,(816)392-6262,16/06/1988,13,αρχιμάγειρας,31,
63,Brock,Lubowitz,920.858.4747x6124,10/12/1999,1,Α΄ μάγειρας,9,
64,Joan,Hilll,713-771-7705x75743,30/04/1976,6,αρχιμάγειρας,53,
65,Alexane,Hamill,1-466-235-2449x3182,07/12/1979,10,Α΄ μάγειρας,16,
66,Dorcas,Paucek,431.399.2705,08/11/2004,2,Γ΄ μάγειρας,42,
67,Ed,Kuphal,1-591-791-5394,15/08/1999,4,Γ΄ μάγειρας,58,
68,Breanne,Batz,5598319756,01/11/1984,3,Γ΄ μάγειρας,13,
69,Mckayla,Schuppe,314.587.7857x20312,21/06/1979,8,Γ΄ μάγειρας,69,
70,Katrine,Kuhlman,1-610-698-6474,24/06/1992,11,Γ΄ μάγειρας,18,
